start_date;end_date;status;discipline_code;event_name;phase;gender;venue;event_code;url;schedule_code
1.08.2024 19:05;1.08.2024 19:30;FINISHED;BK3;Men;Men's Pool Round;M;La Concorde 1;76;/en/paris-2024/results/3x3-basketball/men/gpa-001300--;2059
1.08.2024 19:10;1.08.2024 20:20;FINISHED;FEN;Women's Foil Team;Women's Foil Team Finals;W;Grand Palais;154;/en/paris-2024/results/fencing/women-s-foil-team/fnl-000200--;2060
1.08.2024 19:11;1.08.2024 19:24;FINISHED;ARC;Women's Individual;Women's Individual 1/16 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r32-000100--;2061
1.08.2024 19:24;1.08.2024 19:37;FINISHED;ARC;Men's Individual;Men's Individual 1/32 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r64-003100--;2062
1.08.2024 19:30;1.08.2024 20:20;FINISHED;BDM;Women's Singles;Women's Singles Round of 16;W;La Chapelle Arena;70;/en/paris-2024/results/badminton/women-s-singles/8fnl000400--;2063
1.08.2024 19:30;1.08.2024 20:20;FINISHED;BDM;Women's Singles;Women's Singles Round of 16;W;La Chapelle Arena;70;/en/paris-2024/results/badminton/women-s-singles/8fnl000500--;2064
1.08.2024 19:30;1.08.2024 20:20;FINISHED;BDM;Mixed Doubles;Mixed Doubles Semifinals;X;La Chapelle Arena;73;/en/paris-2024/results/badminton/mixed-doubles/sfnl000200--;2065
1.08.2024 19:30;1.08.2024 19:51;CANCELLED;SAL;Men's Windsurfing;Men's Windsurfing Opening Series;M;Marseille Marina;204;;2066
1.08.2024 19:30;1.08.2024 20:55;FINISHED;WPO;Men;Men's Preliminary Round - Group A;M;Aquatics Centre;299;/en/paris-2024/results/water-polo/men/gpa-000900--;2067
1.08.2024 19:35;1.08.2024 20:00;FINISHED;BK3;Men;Men's Pool Round;M;La Concorde 1;76;/en/paris-2024/results/3x3-basketball/men/gpa-001400--;2068
1.08.2024 19:36;1.08.2024 20:06;FINISHED;SRF;Women;Women's Round 3;W;Teahupo'o  Tahiti;238;/en/paris-2024/results/surfing/women/8fnl--------;2069
1.08.2024 19:37;1.08.2024 19:50;FINISHED;ARC;Men's Individual;Men's Individual 1/32 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r64-003200--;2070
1.08.2024 19:45;1.08.2024 21:15;FINISHED;HOC;Women;Women's Pool A;W;Yves-du-Manoir Stadium;166;/en/paris-2024/results/hockey/women/gpa-001000--;2071
1.08.2024 19:50;1.08.2024 20:03;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-000900--;2072
1.08.2024 20:00;1.08.2024 20:50;FINISHED;VBV;Women;Women's Preliminary - Pool A - Matches;W;Eiffel Tower Stadium;79;/en/paris-2024/results/beach-volleyball/women/gpa-000600--;2073
1.08.2024 20:00;1.08.2024 20:11;FINISHED;BOX;Women's 50kg;Women's 50kg - Prelims - Round of 16;W;North Paris Arena;87;/en/paris-2024/results/boxing/women-s-50kg/8fnl000700--;2074
1.08.2024 20:00;1.08.2024 20:15;FINISHED;BMX;Men;Men  Quarterfinals;M;BMX Stadium;114;/en/paris-2024/results/cycling-bmx-racing/men/qfnl--------;2075
1.08.2024 20:00;1.08.2024 21:00;FINISHED;TTE;Women's Singles;Women's Singles Quarterfinals;W;South Paris Arena 4;275;/en/paris-2024/results/table-tennis/women-s-singles/qfnl000200--;2076
1.08.2024 20:01;1.08.2024 20:22;CANCELLED;SAL;Men's Windsurfing;Men's Windsurfing Opening Series;M;Marseille Marina;204;;2077
1.08.2024 20:03;1.08.2024 20:16;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-001000--;2078
1.08.2024 20:12;1.08.2024 20:42;FINISHED;SRF;Women;Women's Round 3;W;Teahupo'o  Tahiti;238;/en/paris-2024/results/surfing/women/8fnl--------;2079
1.08.2024 20:15;1.08.2024 21:45;FINISHED;HOC;Women;Women's Pool B;W;Yves-du-Manoir Stadium;166;/en/paris-2024/results/hockey/women/gpb-001200--;2080
1.08.2024 20:16;1.08.2024 20:29;FINISHED;ARC;Men's Individual;Men's Individual 1/16 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r32-001600--;2081
1.08.2024 20:16;1.08.2024 20:27;FINISHED;BOX;Women's 50kg;Women's 50kg - Prelims - Round of 16;W;North Paris Arena;87;/en/paris-2024/results/boxing/women-s-50kg/8fnl000800--;2082
1.08.2024 20:20;1.08.2024 20:35;FINISHED;BMX;Women;Women  Quarterfinals;W;BMX Stadium;113;/en/paris-2024/results/cycling-bmx-racing/women/qfnl--------;2083
1.08.2024 20:29;1.08.2024 20:42;FINISHED;ARC;Women's Individual;Women's Individual 1/16 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r32-000500--;2084
1.08.2024 20:30;1.08.2024 22:00;FINISHED;BDM;Mixed Doubles;Mixed Doubles Semifinals;X;La Chapelle Arena;73;/en/paris-2024/results/badminton/mixed-doubles/sfnl000100--;2085
1.08.2024 20:30;1.08.2024 21:40;FINISHED;FEN;Women's Foil Team;Women's Foil Team Finals;W;Grand Palais;154;/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--;2086
1.08.2024 20:30;1.08.2024 20:38;FINISHED;SWM;Women's 200m Butterfly;Women's 200m Butterfly Final;W;Paris La Defense Arena;250;/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--;2087
1.08.2024 20:32;1.08.2024 20:43;FINISHED;BOX;Women's 66kg;Women's 66kg - Prelims - Round of 16;W;North Paris Arena;91;/en/paris-2024/results/boxing/women-s-66kg/8fnl000700--;2088
