athlete_code,name,gender,country_code,nationality,birth_date
1539008,NOVAC Alexandru Mihaita,M,ROU,Romania,1997-03-24
1539114,PRANNOY H. S,M,IND,India,1992-07-17
1539123,RANKIREDDY Satwiksairaj,M,IND,India,2000-08-13
1539125,SHETTY Chirag,M,IND,India,1997-07-04
1539131,BERTEMES Bob,M,LUX,Luxembourg,1993-05-24
1539157,PUSARLA V. Sindhu,F,IND,India,1995-07-05
1539180,AGARWALLA Anush,M,IND,India,1999-11-23
1539183,CRASTO Tanisha,F,IND,India,2003-05-05
1539188,PONNAPPA Ashwini,F,IND,India,1989-09-18
1539303,ROTARU-KOTTMANN Alina,F,ROU,Romania,1993-06-05
1539314,RUTTO Stella,F,ROU,Romania,1996-12-16
1539328,STANCIU Daniela,F,ROU,Romania,1987-10-15
1539340,TALOS Elena Andreea,F,ROU,Romania,1995-02-24
1539342,TOADER Andrei Rares,M,ROU,Romania,1997-05-26
1539412,GOMES Filipe,M,MAW,Malawi,1997-04-07
1539497,OCAMPO Daiana,F,ARG,Argentina,1991-02-16
1539505,ARCHIBALD Emanuel,M,GUY,Guyana,1994-09-09
1539510,ABRAMS Aliyah,F,GUY,United States,1997-04-03
1539530,NOEL Raekwon Jibril,M,GUY,United States,2005-12-21
1539532,PERSAUD Aleka Kylela,F,GUY,Guyana,2006-02-24
1539540,ALLERS-LIBURD Zahria,F,SKN,St Kitts and Nevis,2002-03-06
1539547,TRAORE Cheickna,M,CIV,Côte d'Ivoire,2000-10-21
1539548,TIE Whitney,F,CIV,Côte d'Ivoire,1999-04-07
1539607,SIDHU Vijayveer,M,IND,India,2002-06-21
1539611,TOMAR Aishwary Pratap Singh,M,IND,India,2001-02-03
1539615,NARUKA Anant Jeet Singh,M,IND,India,1998-07-01
1539628,ANISH Anish,M,IND,India,2002-09-26
1539636,BABUTA Arjun,M,IND,India,1999-01-24
1539643,CHEEMA Arjun Singh,M,IND,India,2001-06-13
1539683,BOUSHITA Abderrahmane,M,MAR,Morocco,1997-09-05
1539720,SINGH Sandee,M,IND,India,1996-01-20
1539747,SAMRA Sift Kaur,F,IND,India,2001-09-09
1539752,SINGH Esha,F,IND,India,2005-01-01
1539754,RAMITA Ramita,F,IND,India,2004-01-16
1539757,KUMARI Rajeshwari,F,IND,India,1991-12-10
1539767,SANGWAN Rhythm,F,IND,India,2003-11-29
1539849,SEN Lakshya,M,IND,India,2001-08-16
1539886,di TELLA Pascual Maria,M,ARG,Argentina,1995-09-16
1539948,DARRAGH Rachael,F,IRL,Ireland,1997-09-24
1539950,McNULTY Harry,M,IRL,Ireland,1993-03-05
1539951,MOLLEN Bryan,M,IRL,Ireland,1995-09-25
1539952,KENNEDY Terry,M,IRL,Ireland,1996-07-04
1539954,WALSH Grainne,F,IRL,Ireland,1995-10-13
1539959,PASSMORE Jake,M,IRL,Ireland,2005-06-12
1539961,HEALY Sarah,F,IRL,Ireland,2001-02-13
1539962,McCANN Luke,M,IRL,Ireland,1998-03-12
1539963,McCORMACK Fionnuala,F,IRL,Ireland,1984-09-24
1539966,CATTERSON Victoria,F,IRL,Ireland,2001-03-25
1539968,FERGUSON Conor,M,IRL,Ireland,1999-10-11
1539969,WIFFEN Daniel,M,IRL,Ireland,2001-07-14
1539971,ARMITAGE Megan,F,IRL,Ireland,1996-08-12
1539974,GILLESPIE Lara,F,IRL,Ireland,2001-04-21
