medal_date,medal_code,country_code,team_gender,discipline,event,code_athlete,code_team
2024-08-11,1,DEN,M,Handball,Men,1895238,HBLMTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895224,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895161,HBLMTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895248,HBLMTEAM7---DEN01
2024-08-10,3,DEN,M,Cycling Track,Men's Madison,1879180,CTRMMADISON-DEN01
2024-08-03,2,DEN,No Team,Equestrian,Dressage Team,1892363,EQUODRESTEAMDEN01
2024-08-11,1,DEN,M,Handball,Men,1895239,HBLMTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895228,HBLMTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895166,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895172,HBLMTEAM7---DEN01
2024-08-10,3,DEN,M,Cycling Track,Men's Madison,1879160,CTRMMADISON-DEN01
2024-08-11,1,DEN,M,Handball,Men,1895202,HBLMTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895214,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895180,HBLMTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895246,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895227,HBLMTEAM7---DEN01
2024-08-03,2,DEN,No Team,Equestrian,Dressage Team,1892358,EQUODRESTEAMDEN01
2024-08-10,3,DEN,W,Handball,Women,1895245,HBLWTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895168,HBLWTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895187,HBLWTEAM7---DEN01
2024-08-03,1,AUS,M,Tennis,Men's Doubles,1967767,TENMDOUBLES-AUS02
2024-08-03,1,AUS,M,Tennis,Men's Doubles,1967762,TENMDOUBLES-AUS02
2024-08-10,2,GER,M,Beach Volleyball,Men,1562864,VBVMTEAM2---GER01
2024-08-10,2,GER,M,Beach Volleyball,Men,1562868,VBVMTEAM2---GER01
2024-08-04,1,ITA,W,Tennis,Women's Doubles,1562409,TENWDOUBLES-ITA01
