medal_date,medal_code,gender,country_code,team_gender,discipline,event,code_athlete,code_team,id
10.08.2024,1,F,USA,W,Football,Women,1943567,FBLWTEAM11--USA01,1083
1.08.2024,2,F,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,1935938,SWMW4X200MFRUSA01,1097
30.07.2024,1,F,USA,W,Artistic Gymnastics,Women's Team,1959866,GARWTEAM----USA01,1107
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950496,RU7WTEAM7---USA01,1127
3.08.2024,2,F,USA,X,Athletics,4 x 400m Relay Mixed,1960179,ATHX4X400M--USA01,1154
10.08.2024,1,F,USA,W,Athletics,Women's 4 x 400m Relay,1960179,ATHW4X400M--USA01,1155
11.08.2024,1,F,USA,W,Basketball,Women,1954742,BKBWTEAM5---USA01,1183
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943046,SWAWTEAM8---USA01,1193
9.08.2024,3,M,USA,M,Volleyball,Men,1917982,VVOMTEAM6---USA01,1202
1.08.2024,2,F,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,1935943,SWMW4X200MFRUSA01,1212
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950498,RU7WTEAM7---USA01,1224
29.07.2024,3,M,USA,M,Artistic Gymnastics,Men's Team,1959823,GARMTEAM----USA01,1236
27.07.2024,2,F,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,1935945,SWMW4X100MFRUSA01,1243
1.08.2024,2,F,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,1935945,SWMW4X200MFRUSA01,1244
10.08.2024,1,F,USA,W,Athletics,Women's 4 x 400m Relay,1965308,ATHW4X400M--USA01,1304
1.08.2024,1,M,USA,M,Rowing,Men's Four,1944727,ROWMNOCOX4--USA01,1306
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944731,ROWMCOXED8--USA01,1331
9.08.2024,3,M,USA,M,Volleyball,Men,1918007,VVOMTEAM6---USA01,1377
10.08.2024,1,F,USA,W,Football,Women,1943574,FBLWTEAM11--USA01,1384
3.08.2024,1,M,USA,X,Swimming,Mixed 4 x 100m Medley Relay,1935957,SWMX4X100MMDUSA01,1386
4.08.2024,2,M,USA,M,Swimming,Men's 4 x 100m Medley Relay,1935957,SWMM4X100MMDUSA01,1387
10.08.2024,1,F,USA,W,Football,Women,1943575,FBLWTEAM11--USA01,1394
29.07.2024,3,M,USA,M,Artistic Gymnastics,Men's Team,1959865,GARMTEAM----USA01,1412
10.08.2024,1,F,USA,W,Football,Women,1943576,FBLWTEAM11--USA01,1429
3.08.2024,2,M,USA,X,Athletics,4 x 400m Relay Mixed,1960111,ATHX4X400M--USA01,1437
10.08.2024,1,M,USA,M,Athletics,Men's 4 x 400m Relay,1960111,ATHM4X400M--USA01,1438
11.08.2024,3,M,USA,M,Water Polo,Men,1908365,WPOMTEAM7---USA01,1453
11.08.2024,2,F,USA,W,Volleyball,Women,1917756,VVOWTEAM6---USA01,1459
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950499,RU7WTEAM7---USA01,1476
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944625,ROWMCOXED8--USA01,1477
5.08.2024,2,M,USA,X,Triathlon,Mixed Relay,1930747,TRIXTEAM4---USA01,1541
1.08.2024,2,F,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,1935967,SWMW4X200MFRUSA01,1548
30.07.2024,2,M,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,1935968,SWMM4X200MFRUSA01,1572
11.08.2024,1,F,USA,W,Basketball,Women,1954748,BKBWTEAM5---USA01,1584
11.08.2024,2,F,USA,W,Volleyball,Women,1917757,VVOWTEAM6---USA01,1585
11.08.2024,2,F,USA,W,Volleyball,Women,1917758,VVOWTEAM6---USA01,1595
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944747,ROWMCOXED8--USA01,1616
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943048,SWAWTEAM8---USA01,1629
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950500,RU7WTEAM7---USA01,1632
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943049,SWAWTEAM8---USA01,1653
11.08.2024,2,F,USA,W,Volleyball,Women,1917759,VVOWTEAM6---USA01,1657
29.07.2024,3,M,USA,M,Artistic Gymnastics,Men's Team,1959811,GARMTEAM----USA01,1663
9.08.2024,1,F,USA,W,Athletics,Women's 4 x 100m Relay,1960181,ATHW4X100M--USA01,1672
5.08.2024,2,M,USA,X,Triathlon,Mixed Relay,1930750,TRIXTEAM4---USA01,1674
30.07.2024,1,F,USA,W,Artistic Gymnastics,Women's Team,1959814,GARWTEAM----USA01,1681
11.08.2024,2,F,USA,W,Volleyball,Women,1917760,VVOWTEAM6---USA01,1688
10.08.2024,1,F,USA,W,Football,Women,1943580,FBLWTEAM11--USA01,1689
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950501,RU7WTEAM7---USA01,1701
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944757,ROWMCOXED8--USA01,1710
9.08.2024,3,M,USA,M,Volleyball,Men,1918009,VVOMTEAM6---USA01,1712
10.08.2024,1,F,USA,W,Football,Women,1943569,FBLWTEAM11--USA01,1728
1.08.2024,1,F,USA,W,Fencing,Women's Foil Team,1950643,FENWTEAMFOILUSA01,1760
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950502,RU7WTEAM7---USA01,1764
1.08.2024,2,F,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,1935979,SWMW4X200MFRUSA01,1777
4.08.2024,1,F,USA,W,Swimming,Women's 4 x 100m Medley Relay,1935979,SWMW4X100MMDUSA01,1778
10.08.2024,1,F,USA,W,Football,Women,1943585,FBLWTEAM11--USA01,1781
9.08.2024,3,M,USA,M,Volleyball,Men,1918011,VVOMTEAM6---USA01,1790
11.08.2024,2,F,USA,W,Volleyball,Women,1917762,VVOWTEAM6---USA01,1815
9.08.2024,3,M,USA,M,Volleyball,Men,1918012,VVOMTEAM6---USA01,1825
30.07.2024,2,M,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,1935982,SWMM4X200MFRUSA01,1826
3.08.2024,1,F,USA,X,Swimming,Mixed 4 x 100m Medley Relay,1935984,SWMX4X100MMDUSA01,1831
4.08.2024,1,F,USA,W,Swimming,Women's 4 x 100m Medley Relay,1935984,SWMW4X100MMDUSA01,1832
