start_date,end_date,status,phase,gender,venue,event_code,url
2024-07-27 11:48:00,2024-07-27 11:54:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000400--
2024-07-27 11:48:00,2024-07-27 11:54:00,FINISHED,Men -60 kg Quarterfinals,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/qfnl000200--
2024-07-27 11:54:00,2024-07-27 12:00:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000500--
2024-07-27 11:54:00,2024-07-27 12:00:00,FINISHED,Men -60 kg Quarterfinals,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/qfnl000300--
2024-07-27 12:00:00,2024-07-27 12:06:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000600--
2024-07-27 12:00:00,2024-07-27 12:06:00,FINISHED,Men -60 kg Quarterfinals,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/qfnl000400--
2024-07-27 12:00:00,2024-07-27 12:27:00,FINISHED,Women's Double Sculls Heats,W,Nautical St - Flat water,190,/en/paris-2024/results/rowing/women-s-double-sculls/heat--------
2024-07-27 12:00:00,2024-07-27 13:30:00,FINISHED,Women's Singles First Round,W,Roland-Garros Stadium,288,/en/paris-2024/results/tennis/women-s-singles/r64-000100--
2024-07-27 12:00:00,2024-07-27 13:30:00,FINISHED,Women's Singles First Round,W,Roland-Garros Stadium,288,/en/paris-2024/results/tennis/women-s-singles/r64-002400--
2024-07-27 12:00:00,2024-07-27 15:00:00,FINISHED,Men's Singles First Round,M,Roland-Garros Stadium,287,/en/paris-2024/results/tennis/men-s-singles/r64-000100--
2024-07-27 12:00:00,2024-07-27 15:00:00,FINISHED,Men's Singles First Round,M,Roland-Garros Stadium,287,/en/paris-2024/results/tennis/men-s-singles/r64-003200--
2024-07-27 12:00:00,2024-07-27 16:30:00,FINISHED,Men's Singles First Round,M,Roland-Garros Stadium,287,/en/paris-2024/results/tennis/men-s-singles/r64-001600--
2024-07-27 12:00:00,2024-07-27 16:30:00,FINISHED,Women's Singles First Round,W,Roland-Garros Stadium,288,/en/paris-2024/results/tennis/women-s-singles/r64-000900--
2024-07-27 12:00:00,2024-07-27 18:00:00,FINISHED,Men's Singles First Round,M,Roland-Garros Stadium,287,/en/paris-2024/results/tennis/men-s-singles/r64-002400--
2024-07-27 12:00:00,2024-07-27 19:30:00,FINISHED,Women's Doubles First Round,W,Roland-Garros Stadium,290,/en/paris-2024/results/tennis/women-s-doubles/r32-000100--
2024-07-27 12:05:00,2024-07-27 12:30:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000400--
2024-07-27 12:05:00,2024-07-27 12:30:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000800--
2024-07-27 12:05:00,2024-07-27 12:30:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-001200--
2024-07-27 12:05:00,2024-07-27 12:30:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-001600--
2024-07-27 12:06:00,2024-07-27 12:12:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000700--
2024-07-27 12:12:00,2024-07-27 12:18:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000800--
